release_year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,popular_genre,max_mean
1960,0.25,0.15625,0.0,0.25,0.0625,0.0,0.40625,0.09375,0.0625,0.03125,0.15625,0.21875,0.03125,0.0,0.1875,0.09375,0.0,0.1875,0.0625,0.1875,Drama,0.40625
1961,0.22580645161290322,0.1935483870967742,0.03225806451612903,0.3225806451612903,0.06451612903225806,0.0,0.5161290322580645,0.16129032258064516,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.22580645161290322,0.12903225806451613,0.0,0.0,0.06451612903225806,0.0967741935483871,Drama,0.5161290322580645
1962,0.25,0.21875,0.0,0.15625,0.09375,0.0,0.65625,0.0625,0.03125,0.03125,0.125,0.15625,0.03125,0.125,0.15625,0.0625,0.0,0.21875,0.09375,0.09375,Drama,0.65625
1963,0.11764705882352941,0.20588235294117646,0.029411764705882353,0.38235294117647056,0.11764705882352941,0.0,0.38235294117647056,0.08823529411764706,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.2647058823529412,0.0,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.0,0.29411764705882354,0.029411764705882353,0.058823529411764705,Comedy,0.38235294117647056
1964,0.11904761904761904,0.11904761904761904,0.047619047619047616,0.38095238095238093,0.23809523809523808,0.0,0.47619047619047616,0.09523809523809523,0.09523809523809523,0.023809523809523808,0.07142857142857142,0.14285714285714285,0.11904761904761904,0.09523809523809523,0.21428571428571427,0.09523809523809523,0.0,0.21428571428571427,0.07142857142857142,0.023809523809523808,Drama,0.47619047619047616
1965,0.2571428571428571,0.17142857142857143,0.02857142857142857,0.2,0.05714285714285714,0.0,0.5714285714285714,0.08571428571428572,0.0,0.02857142857142857,0.11428571428571428,0.14285714285714285,0.05714285714285714,0.08571428571428572,0.14285714285714285,0.05714285714285714,0.02857142857142857,0.3142857142857143,0.22857142857142856,0.11428571428571428,Drama,0.5714285714285714
1966,0.30434782608695654,0.2391304347826087,0.06521739130434782,0.34782608695652173,0.10869565217391304,0.021739130434782608,0.34782608695652173,0.15217391304347827,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.06521739130434782,0.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.0,0.17391304347826086,0.08695652173913043,0.15217391304347827,Comedy,0.34782608695652173
1967,0.175,0.175,0.05,0.425,0.175,0.025,0.4,0.075,0.075,0.0,0.0,0.1,0.125,0.075,0.275,0.1,0.0,0.125,0.025,0.05,Comedy,0.425
1968,0.15384615384615385,0.1282051282051282,0.07692307692307693,0.23076923076923078,0.1282051282051282,0.0,0.5128205128205128,0.1282051282051282,0.1282051282051282,0.0,0.07692307692307693,0.10256410256410256,0.07692307692307693,0.10256410256410256,0.15384615384615385,0.10256410256410256,0.0,0.1282051282051282,0.10256410256410256,0.02564102564102564,Drama,0.5128205128205128
1969,0.3225806451612903,0.16129032258064516,0.0967741935483871,0.3870967741935484,0.0967741935483871,0.0,0.41935483870967744,0.12903225806451613,0.06451612903225806,0.0,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.22580645161290322,Drama,0.41935483870967744
1970,0.275,0.15,0.05,0.3,0.1,0.075,0.475,0.075,0.075,0.025,0.075,0.125,0.1,0.075,0.15,0.075,0.025,0.125,0.125,0.2,Drama,0.475
1971,0.2,0.09090909090909091,0.01818181818181818,0.16363636363636364,0.18181818181818182,0.0,0.5454545454545454,0.03636363636363636,0.03636363636363636,0.0,0.05454545454545454,0.12727272727272726,0.01818181818181818,0.10909090909090909,0.16363636363636364,0.10909090909090909,0.01818181818181818,0.3090909090909091,0.07272727272727272,0.09090909090909091,Drama,0.5454545454545454
1972,0.25,0.125,0.025,0.325,0.175,0.025,0.4,0.05,0.025,0.0,0.0,0.2,0.05,0.1,0.125,0.1,0.0,0.25,0.0,0.125,Drama,0.4
1973,0.2727272727272727,0.09090909090909091,0.05454545454545454,0.14545454545454545,0.3090909090909091,0.01818181818181818,0.5636363636363636,0.07272727272727272,0.01818181818181818,0.0,0.03636363636363636,0.2727272727272727,0.01818181818181818,0.12727272727272726,0.05454545454545454,0.10909090909090909,0.01818181818181818,0.2909090909090909,0.0,0.07272727272727272,Drama,0.5636363636363636
